rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.6126405199368796,11.215532544,1.5576941967010498,4.747860980375087
16,32,3686400,4.065653812885285,10.614555648,1.5160831212997437,4.55435137131404
64,128,14745600,3.6306333263715107,11.998028288,1.476814866065979,4.378975820309134
